,oob,time
0,0.026384968,121.6978836
1,0.02637492,415.9506221
2,0.026321278,722.0666608
3,0.02631364,1131.665442
5,0.026319444,1449.376999
6,0.026339634,1710.279105
8,0.067578636,1992.182135
9,0.293748556,2353.320611
10,0.026316289,2608.024821
11,0.221410635,2908.684672
14,0.403217762,3215.084805
15,0.465455154,3548.672824
