,time,oob
1,40.4421159,0.026372309
2,108.2399921,0.026379872
3,188.9389743,0.026376802
4,258.2944158,0.02633094
5,343.2380155,0.026326852
6,385.8502486,0.026352577
7,454.7000831,0.026376117
8,530.4054628,0.026333719
9,581.1030598,0.026375705
10,663.585489,0.026329494
11,727.7713517,0.565706182
12,802.5562745,0.026376843
13,854.71389,0.026380566
14,908.4860837,0.026353422
15,980.6808146,0.026342418
16,1052.408232,0.026317933
17,1137.076915,0.026341006
18,1201.1673,0.026314885
19,1285.90002,0.316526383
20,1362.48787,0.026330461
21,1438.207696,0.026322531
22,1507.64912,0.026316055
23,1570.0288,0.026355084
24,1632.546341,0.026370112
25,1699.121151,0.026371132
26,1763.534215,0.026361516
27,1821.67541,0.026376695
28,1893.098709,0.026319776
29,1955.576635,0.02637788
30,2025.151797,0.026360349
31,2073.292893,0.026356016
32,2161.493996,0.526816143
33,2205.781381,0.026319797
34,2283.553218,0.263779262
35,2340.35321,0.026330893
36,2403.221608,0.026355544
37,2451.668745,0.026332809
38,2503.759109,0.026324901
39,2570.042113,0.026351104
40,2667.90486,0.232045623
41,2735.588242,0.302061243
42,2788.373249,0.266141849
43,2883.688646,0.026367305
44,2951.0766,0.026362459
45,3053.635335,0.795568738
46,3112.562361,0.026315033
47,3176.994569,0.336919188
48,3236.99871,0.026340586
49,3300.677571,0.026325132
50,3370.482048,0.2778259
51,3443.391157,0.468589292
52,3513.791792,0.148838993
53,3571.891908,0.026328404
