,temperature,oob,time
0,1000,0.026370305,79.0747052
1,1000,0.026352822,157.6697612
2,1000,0.026336153,235.7605616
3,1000,0.026363275,313.9643744
4,1000,0.02637998,392.2168596
5,1000,0.026331213,470.359289
6,1000,0.026323037,548.1763817
7,1000,0.026344615,626.3264763
8,800,0.026373425,704.5579824
9,800,0.026315427,782.7587627
10,800,0.026357532,861.1315147
11,800,0.026348892,939.8235854
12,800,0.026336153,1017.930166
13,800,0.026313362,1096.283552
14,800,0.026364073,1174.457267
15,800,0.026344469,1252.612137
16,640,0.02635003,1331.296477
17,640,0.026368058,1409.340873
18,640,0.026333527,1487.521329
19,640,0.026344469,1565.614798
20,640,0.02638815,1644.010795
21,640,0.026338419,1722.673063
22,640,0.026377677,1800.556728
23,640,0.026390922,1877.626758
24,512,0.026313362,1954.787815
25,512,0.026323073,2032.718228
26,512,0.026337566,2111.149343
27,512,0.026336299,2188.998299
28,512,0.263097513,2268.887316
29,512,0.026367314,2346.819425
30,512,0.02636735,2424.666567
31,512,0.026325846,2502.914215
32,409.6,0.354466075,2583.334978
33,409.6,0.026375015,2739.219853
34,409.6,0.026323705,2816.4102
35,409.6,0.026354271,2893.783331
36,409.6,0.485731448,2948.07837
37,409.6,0.67663336,3400.370569
