,temperature,oob,time
0,1000,0.02635421,132.102785
1,1000,0.026340744,261.8383157
2,1000,0.026359292,391.6296593
3,1000,0.026345289,521.8273842
4,1000,0.026374235,651.9453085
5,1000,0.026322761,782.4732226
6,1000,0.02631384,913.3055229
6,1000,0.026363978,1043.65212
7,800,0.026346456,1174.849101
8,800,0.02635054,1305.27789
10,800,0.026374235,1436.919828
11,800,0.026374235,1436.935813
12,800,0.02632597,1567.693386
13,800,0.026341619,1698.41672
14,800,0.026372899,1829.941893
15,800,0.026345289,1960.440615
16,640,0.02632949,2091.514001
17,640,0.026346164,2222.725974
18,640,0.026323072,2354.894703
19,640,0.230495043,2489.913904
20,640,0.484625995,2883.849607
21,640,0.29825671,3015.637796
22,640,0.416990053,3159.250859
23,640,0.450828,3297.948071
24,512,0.969460857,3537.151684
