generation,oob,time
1,0.026332855,109.4558544
1,0.0263687,201.4812059
1,0.026372668,281.4588553
1,0.026330122,335.3007482
1,0.026341433,416.4021038
1,0.99385406,578.5662707
1,0.026355675,661.5685996
1,0.02633408,779.7949605
1,0.026370098,837.2203107
1,0.026359092,1013.211289
2,0.026347358,1091.660883
2,0.026315414,1178.066085
2,0.02637461,1288.065729
2,0.02633113,1436.726156
2,0.971314471,1595.854078
2,0.02631652,1684.081301
2,0.026327272,1758.460064
2,0.963569546,1901.647492
2,0.9909495,2060.594501
2,1,2208.34979
3,0.026322516,2265.012843
3,0.026356927,2351.610933
3,0.998183024,2500.038026
3,0.970937271,2648.685489
3,0.026316493,2727.760975
3,0.043068004,2806.104048
3,0.962353025,2965.268429
3,0.328045126,3041.890769
3,0.161690366,3120.256844
3,0.330324799,3200.436397
4,0.999810144,3351.471818
4,0.967113829,3505.005219
4,0.99385406,3505.005219
4,0.971314471,3505.005219
4,0.963569546,3505.005219
4,0.02637461,3505.005219
4,0.026372668,3505.005219
