,temperature,oob,time
0,1000,0.026325482,89.5819191
1,1000,0.026325955,173.5222735
2,1000,0.026353309,256.9367059
3,1000,0.026359901,340.3868222
4,1000,0.026377916,423.9864381
5,1000,0.026378578,507.5265223
6,1000,0.026369888,591.5723826
7,1000,0.026314801,675.0459062
8,800,0.026329066,757.8696428
9,800,0.0263793,841.4133692
10,800,0.026348138,925.1679821
11,800,0.026366452,1009.464465
12,800,0.026356046,1258.919272
13,800,0.026315132,1341.702881
14,800,0.026382029,1424.836963
15,800,0.026366066,1508.292192
16,640,0.026366511,1591.919046
17,640,0.026377916,1675.537559
18,640,0.026353695,1759.177733
19,640,0.026367855,1843.366414
20,640,0.026365312,1926.912854
21,640,0.026333173,2010.340362
22,640,0.026379632,2093.102698
23,640,0.026321728,2176.719732
24,512,0.026337788,2260.634662
25,512,0.026373366,2344.139212
26,512,0.026344347,2427.697607
27,512,0.064160364,2512.970134
28,512,0.026379227,2679.525751
29,512,0.026377916,2763.045087
30,512,0.026363669,2845.931319
31,512,0.026345654,2929.616371
32,409.6,0.358734782,3013.434158
