,time,oob
1,52.4273629,0.026341622
2,114.6896861,0.026352541
3,210.4189253,0.026325167
4,258.366329,0.02633696
5,356.4377728,0.397260171
6,399.0188498,0.026319695
7,467.7198247,0.026317005
8,557.4193938,0.026384386
9,631.3269829,0.026364447
10,722.2130955,0.026374812
11,808.7049946,0.437401377
12,866.6200412,0.026381504
13,921.2545602,0.026361265
14,1009.044535,0.409616525
15,1075.208058,0.026321599
16,1127.433383,0.02631905
17,1189.873961,0.026331819
18,1248.973265,0.585363657
19,1313.691676,0.026342731
20,1384.085664,0.026376429
21,1445.545783,0.026316644
22,1509.048267,0.026332299
23,1594.13757,0.026321978
24,1650.907591,0.026316631
25,1732.243205,0.026360387
26,1812.185596,0.02633699
27,1864.675774,0.026369019
28,1923.464591,0.026323484
29,2026.438035,0.026366511
30,2103.693773,0.026321289
31,2167.596266,0.026352268
32,2245.577761,0.026315523
33,2315.289987,0.955941397
34,2375.140156,0.026316109
35,2461.541491,0.026381819
36,2542.041962,0.026312715
37,2616.973419,0.026370632
38,2676.306982,0.319657755
39,2737.785418,0.026343316
40,2812.864846,0.221723952
41,2878.170295,0.026321911
42,2957.724978,0.02633035
43,3055.007235,0.026332694
44,3121.0329,0.026331387
45,3175.999234,0.026312052
46,3239.760602,0.372326541
47,3304.10482,0.978183548
48,3391.815038,0.488586435
49,3468.800597,0.456430786
50,3519.987323,0.026315899
