generation,oob,time
1,0.026352128,123.2444165
1,0.026354332,228.1711267
1,0.026336426,349.9793581
1,0.026378841,441.720941
1,0.026379593,537.8975188
1,0.02632255,657.1240348
1,0.026330161,747.4137007
1,1,896.8973636
1,0.026328551,1042.973367
1,0.026323526,1141.205226
2,0.026371967,1241.516706
2,0.02637821,1338.335669
2,0.026316953,1441.378329
2,0.026371952,1514.855145
2,1,1670.233449
2,0.026360396,1833.938567
2,0.026362247,1937.026146
2,0.026369819,2051.160708
2,0.026329549,2155.729894
2,0.026315982,2253.774118
3,0.026339557,2396.714068
3,0.963194629,2551.406694
3,0.026375985,2642.284135
3,0.02634197,2736.467488
3,0.994331826,2880.546536
3,0.967380311,3024.662799
3,0.0263254,3146.311813
3,0.02634386,3248.969486
3,0.026363674,3396.181212
3,0.992777915,3502.410818
