,temperature,oob,time
0,1000,0.026379298,100.2965761
1,1000,0.02631384,197.4373016
2,1000,0.026327133,294.0093393
3,1000,0.026336207,390.3343298
4,1000,0.026333768,487.8905135
5,1000,0.026359566,584.2339027
6,1000,0.026359698,681.136383
7,1000,0.02637266,777.6479542
8,800,0.026362861,875.074369
9,800,0.026366285,972.3400578
10,800,0.026366213,1069.741454
11,800,0.026327011,1166.585354
13,800,0.026333219,1264.089769
14,800,0.026327008,1361.397809
15,800,0.026320339,1457.604056
16,800,0.026346149,1554.485659
17,640,0.02637261,1650.993827
18,640,0.026306939,1747.284121
19,640,0.026319858,1844.407279
21,640,0.026359697,1942.154916
22,640,0.026313756,2038.379535
23,640,0.026313756,2038.477589
24,640,0.02638554,2135.679436
25,640,0.026379434,2232.196759
26,512,0.026356154,2329.14443
27,512,0.026320528,2425.570513
28,512,0.026350102,2521.945815
29,512,0.026336207,2618.399918
30,512,0.026316881,2714.840309
31,512,0.026346422,2812.573072
32,512,0.02632053,2908.760648
33,512,0.02631678,3005.0786
34,409.6,0.026372696,3102.371817
35,409.6,0.026356259,3198.589016
36,409.6,0.026336413,3295.628865
37,409.6,0.026366091,3392.882343
38,409.6,0.026366091,3392.998675
39,409.6,0.336539602,3491.655345
40,409.6,0.026346162,3588.535017
