generation,oob,time
1,0.026330129,117.8838353
1,0.026315115,239.3838218
1,0.026320835,348.8722997
1,0.026336148,454.5585031
1,0.469344352,621.8419661
1,0.026378186,758.5803224
1,0.026365201,889.2830449
1,0.026330829,1046.466292
1,0.026343851,1199.399914
1,0.026376448,1303.230693
2,0.026326226,1456.348377
2,0.02631605,1653.162059
2,0.026318288,1786.481582
2,0.026346713,1917.898516
2,0.026313363,2003.155809
2,0.026319215,2140.200743
2,0.026335403,2313.641795
2,0.026376607,2420.717791
2,0.995425166,2567.813629
2,0.974721441,2713.299123
3,1,2859.913751
3,0.985206496,3005.824633
3,0.026354048,3148.43436
3,0.026323447,3267.093135
3,0.994415117,3413.241839
3,0.986421533,3562.97061
