,temperature,oob,time
0,1000,0.026351981,52.7771687
1,1000,0.026354975,103.5128267
2,1000,0.026331992,153.7454357
3,1000,0.026339514,203.7449917
4,1000,0.026335048,253.8487277
5,1000,0.026354222,303.9433946
6,1000,0.274157206,353.7049313
7,1000,0.026363682,403.7501092
8,800,0.026331236,453.7038722
9,800,0.026366879,503.9904396
10,800,0.149287149,611.404398
12,800,0.026350464,668.6349665
13,800,0.026352604,725.2994728
14,800,0.026330282,781.9233248
15,800,0.321354731,838.6379219
16,640,0.02634884,895.040669
17,640,0.026332075,951.2996903
18,640,0.026374655,1007.930983
19,640,0.026367904,1064.295842
20,640,0.02634884,1121.026597
21,640,0.026356183,1173.901836
22,640,0.0263762,1223.400797
23,640,0.026374966,1272.149543
24,512,0.026331599,1320.995756
25,512,0.026334339,1369.98189
26,512,0.026374992,1418.868434
27,512,0.026342991,1467.94609
28,512,0.026348055,1516.726568
29,512,0.02634655,1565.564453
31,512,0.026364123,1663.763125
32,409.6,0.026377893,1713.654247
34,409.6,0.026376356,1763.937211
35,409.6,0.026375589,1813.572818
36,409.6,0.026336195,1863.02627
37,409.6,0.026322734,1912.690101
38,409.6,0.026373074,1962.396161
39,409.6,0.026373092,2011.888413
40,327.68,0.026373117,2061.705735
41,327.68,0.026370662,2111.16865
42,327.68,0.026378703,2161.001619
43,327.68,0.026379351,2251.752958
45,327.68,0.026371218,2326.609617
46,327.68,0.026378961,2474.787673
47,327.68,0.026378161,2549.140435
48,262.144,0.026377591,2623.19592
49,262.144,0.02636633,2697.601057
50,262.144,0.124579802,2847.607849
51,262.144,0.282783744,2923.456626
52,262.144,0.026373202,2977.938467
53,262.144,0.315572468,3030.612225
54,262.144,0.026369844,3082.786952
55,262.144,0.042221032,3135.07978
56,209.7152,0.026373032,3187.349562
57,209.7152,0.026373862,3239.499636
58,209.7152,0.363467608,3291.807677
59,209.7152,0.026373042,3344.19521
60,209.7152,0.404658195,3397.026057
61,209.7152,0.055888363,3541.526404
62,209.7152,0.425132688,3581.000748
