generation,oob,time
1,0.02637344620821158,126.6915669
1,0.026365195678919817,234.01850700000023
1,0.02632493161867555,297.5574409000001
1,0.02634810521370523,347.94764910000004
1,0.026348524914858618,437.0000963000002
1,0.026318175446813807,560.7008059
1,0.026369849926186517,685.3363750000003
1,0.026383516867880763,736.0677069000003
1,0.02635563680637798,820.2601910000003
1,0.026333569947325053,906.3413100000002
2,0.026319991709460866,992.2116146000003
2,0.9708067716414212,1130.4018071
2,0.02631461116872369,1204.0468639
2,0.02632967126619834,1327.8991082000002
2,0.026332917329481176,1413.9435562000003
2,0.026378738721580808,1466.3330879000005
2,0.02634595726638811,1516.0072976000001
2,0.026339482073536757,1640.8595402000003
2,0.026312624917245286,1765.7241829000002
2,0.026346350094864857,1851.1209234000003
3,0.026385616232145526,1975.6209885000003
3,0.026315564292471172,2052.0637909
3,0.026317710420660556,2176.8976139
3,0.026322812776259363,2301.1931835000005
3,0.02632597045265328,2351.2229495
3,0.02632972599198824,2442.8489222000003
3,0.026325961991761182,2537.7588576000003
3,0.02637192669035815,2628.3528290000004
3,0.02633918428423565,2752.1313053000003
3,0.7242179357450099,2881.4748214
4,0.16510841380511376,3007.8963961000004
4,0.2933027996786872,3136.5007118000003
4,0.2779255072848351,3265.4762724
4,0.41079787636704534,3395.4775057
4,0.4548634042942088,3525.6316483000005
