,temperature,oob,time
0,1000,0.026378514,108.0461643
1,1000,0.026380701,191.6359529
2,1000,0.026333319,275.7912282
3,1000,0.026346357,360.001629
4,1000,0.026313301,443.2748798
5,1000,0.026360707,527.4911923
6,1000,0.026313301,612.1565868
7,1000,0.026360707,696.3233084
8,800,0.026313325,780.3382349
9,800,0.026371558,864.9146826
10,800,0.026313325,948.6632381
11,800,0.026319844,1032.634416
12,800,0.026367202,1116.974213
13,800,0.026347232,1201.330573
18,800,0.026332882,1286.097934
19,800,0.0263268,1370.488766
20,640,0.026360707,1454.855397
21,640,0.026346794,1539.644178
22,640,0.026371558,1623.832456
23,640,0.026341151,1707.238021
24,640,0.026340276,1791.634763
25,640,0.026353751,1876.078739
26,640,0.026373307,1961.096934
27,640,0.026313763,2045.545151
28,512,0.026313325,2129.833209
29,512,0.026380701,2214.328431
30,512,0.026359808,2298.700966
31,512,0.026378951,2382.53898
32,512,0.026333319,2466.796831
33,512,0.026313301,2550.89622
34,512,0.026346794,2635.081924
35,512,0.026343098,2719.464302
36,409.6,0.026376154,2803.506336
37,409.6,0.026385285,2887.665977
38,409.6,0.026319844,2972.114283
39,409.6,0.246956551,3057.668573
40,409.6,0.309093944,3144.178185
41,409.6,0.4876809,3231.30924
42,409.6,0.593761268,3318.926221
43,409.6,0.767256624,3406.356633
