generation,oob,time
1,0.02633456,80.1096681
1,0.026329047,181.9399376
1,0.026378843,304.9250823
1,0.469344352,412.2261003
1,0.026374897,501.5570978
1,0.026315929,647.634986
1,0.416867438,771.0095348
1,0.026377919,840.3572463
1,0.026361268,943.9312887
1,0.026329308,1068.740585
2,0.02636613,1194.781059
2,0.026313515,1331.053118
2,0.026319048,1408.426277
2,0.026344326,1501.169526
2,0.970598447,1679.433094
2,0.02635864,1818.74284
2,0.026324907,1896.869039
2,0.026353094,2004.371594
2,0.502442868,2128.97275
2,0.026316635,2257.03471
3,0.026325977,2380.679579
3,0.026318676,2469.641804
3,0.02634296,2599.455559
3,0.026366059,2716.735784
3,0.033860173,2780.881661
3,0.026317631,2896.358487
3,0.215664718,3027.743885
3,0.02632031,3134.946173
3,0.958817437,3258.785784
3,0.263299966,3335.463691
4,0.088285341,3466.189728
4,0.970598447,3524.189728
