,temperature,oob,time
0,1000,0.026336055,113.1200881
1,1000,0.026335983,218.1418025
2,1000,0.026350239,323.0984188
3,1000,0.026350142,428.2752461
4,1000,0.026353629,532.944347
5,1000,0.026332908,637.7818588
6,1000,0.02637442,742.5569669
7,1000,0.026350146,847.2009218
8,800,0.026373957,952.1331315
9,800,0.026342934,1056.890318
10,800,0.026374113,1161.747895
11,800,0.026359356,1244.172169
12,800,0.026359356,1294.685816
13,800,0.026330654,1341.270301
14,800,0.026332392,1397.884166
15,800,0.026362885,1474.517745
16,640,0.026373924,1551.248987
17,640,0.026368016,1627.863446
18,640,0.026368979,1704.537202
19,640,0.026363645,1781.121701
20,640,0.026375616,1857.713504
21,640,0.026368253,1934.316125
22,640,0.026377569,1999.688215
23,640,0.026366931,2059.890138
24,512,0.026368939,2119.877086
25,512,0.02635598,2179.667767
26,512,0.026333829,2239.288575
27,512,0.026375989,2299.530657
28,512,0.026366426,2359.197834
29,512,0.026360949,2418.988561
30,512,0.026359176,2478.856167
31,512,0.02637678,2538.239741
32,409.6,0.183215193,2598.84468
33,409.6,0.026353391,2693.894232
34,409.6,0.026353391,2694.405766
35,409.6,0.026339483,2764.197987
36,409.6,0.026376877,2833.930633
37,409.6,0.026349021,2903.922649
38,409.6,0.026335265,2973.783058
39,409.6,0.15598478,3044.633406
40,327.68,0.366565739,3256.390215
41,327.68,0.492179289,3386.917511
42,327.68,0.026372499,3480.778165
43,327.68,0.478963737,3527.732345
44,327.68,0.026350078,3574.434289
