,oob,time
0,0.067271266,117.0096312
1,0.123364912,413.8731985
2,0.026334978,715.0505137
3,0.02635494,996.4375586
4,0.189139403,1172.850548
5,0.19857117,1607.493274
6,0.026315177,1731.620752
7,0.026379312,2139.703008
9,0.026380457,2410.520564
10,0.026381162,2689.546612
11,0.474721441,2992.389713
12,0.026378843,3137.642449
