,temperature,oob,time
0,1000,0.026364598,55.9870851
1,1000,0.026372043,97.8490465
2,1000,0.39078287,139.1815622
3,1000,0.026371866,180.6092495
4,1000,0.03557333,221.8443267
5,1000,0.02637493,263.4361672
6,1000,0.026332512,304.8533889
7,1000,0.076864482,346.8715346
8,800,0.026348813,527.4669976
9,800,0.026336209,609.5284145
10,800,0.026377251,690.0459513
11,800,0.510338346,729.7130343
12,800,0.026332852,769.8018197
13,800,0.026375273,809.9633524
14,640,0.026362598,890.3877275
15,640,0.026363524,971.7150562
16,640,0.026366054,1040.456611
17,640,0.152830644,1108.840067
18,640,0.026374398,1177.159089
19,640,0.026340381,1245.398634
20,512,0.026375844,1381.434199
21,512,0.026372793,1450.166306
22,512,0.080815296,1725.079887
23,512,0.026370342,1793.502073
24,512,0.026374393,1861.755705
25,512,0.026375514,1929.960902
26,512,0.026336094,1998.076824
27,512,0.026343567,2066.132857
28,409.6,0.393734775,2134.699591
29,409.6,0.026374849,2202.842532
30,409.6,0.026376177,2270.985837
31,409.6,0.026375425,2339.165175
32,409.6,0.026360459,2407.553398
33,409.6,0.026375514,2475.870433
34,409.6,0.026332425,2535.923403
35,409.6,0.026371881,2595.570345
36,327.68,0.026362887,2655.161654
37,327.68,0.026369511,2714.901448
38,327.68,0.026376058,2774.816819
39,327.68,0.026374315,2894.583214
40,327.68,0.026338352,2954.5411
41,327.68,0.026366669,3014.489737
42,262.144,0.026341102,3153.120017
43,262.144,0.02634624,3215.518697
44,262.144,0.026374338,3277.31385
45,262.144,0.026381814,3339.22279
46,262.144,0.02637455,3400.953378
47,262.144,0.026335394,3462.830471
48,262.144,0.705382882,3524.787836
49,262.144,0.026367792,3586.48504
