,time,oob
1,57.9753536,0.026383081
2,109.9726868,0.026340383
3,179.4570072,0.026359383
4,260.975235,0.026369417
5,351.6506856,0.026342072
6,403.459795,0.026349489
7,470.6602634,0.026333574
8,514.0229184,0.026381672
9,572.7361999,0.026376598
10,626.2431193,0.02637586
11,704.2389646,0.326475685
12,762.7680786,0.026331843
13,834.3172347,0.026377557
14,892.7759443,0.026378285
15,946.1274992,0.02631942
16,1005.882794,0.026319739
17,1066.466688,0.026321728
18,1122.514807,0.026316182
19,1188.65369,0.026331498
20,1271.011994,0.026314636
21,1327.321943,0.465173942
22,1394.13259,0.026353496
23,1451.59962,0.026376866
24,1536.707621,0.026352031
25,1617.168193,0.026384547
26,1699.517949,0.026378666
27,1757.548845,0.026355506
28,1878.555466,0.026362142
29,1917.493642,0.026327355
30,1947.448209,0.026328198
31,2001.335207,0.026316519
32,2078.756182,0.381759175
33,2130.155707,0.026362631
34,2186.715507,0.026317314
35,2280.3604,0.026370353
36,2332.827011,0.026335597
37,2381.543482,0.026322576
38,2438.683342,0.02936951
39,2533.875277,0.026318498
40,2605.055828,0.026376304
41,2672.518751,0.026364911
42,2731.002445,0.02637904
43,2797.162977,0.026375432
44,2895.37974,0.026370962
45,2984.260988,0.02638268
46,3029.253947,0.026377094
47,3104.573211,0.426515725
48,3175.520923,0.061433513
49,3234.122747,0.026331403
50,3297.99912,0.986005992
51,3395.396662,0.47615661
52,3465.047736,0.330871043
53,3520.393649,0.341785284
54,3578.191552,0.995256545
